pts/ci-evidence.mjs	2026-09-25T13:49:32.4799470Z  ^[[32m✓^[[39m packages/react/test/public-package-surface.test.ts ^[[2m(^[[22m^[[2m1 test^[[22m^[[2m)^[[22m^[[32m 20^[[2mms^[[22m^[[39m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.3995383Z ^[[36m ^[[2m❯^[[22m packages/core/test/integration/bare-authored-leaf.test.ts:^[[2m375:3^[[22m^[[39m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4067330Z     ^[[90m373|^[[39m   })^[[33m;^[[39m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4068375Z     ^[[90m374|^[[39m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4069303Z     ^[[90m375|^[[39m   it("LF-16 leaves no authored schema in the repository on the retired…
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4070268Z     ^[[90m   |^[[39m   ^[[31m^^[[39m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4071187Z     ^[[90m376|^[[39m     ^[[35mconst^[[39m offenders^[[33m:^[[39m string[] ^[[33m=^[[39m []^[[33m;^[[39m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4072429Z     ^[[90m377|^[[39m     ^[[35mfor^[[39m (^[[35mconst^[[39m root ^[[35mof^[[39m ^[[33mSCHEMA_ROOTS^[[39m)
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4073038Z 
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4073468Z ^[[31m^[[2m⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯[1/1]⎯^[[22m^[[39m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4073794Z 
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4073829Z 
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4084986Z ^[[2m Test Files ^[[22m ^[[1m^[[31m1 failed^[[39m^[[22m^[[2m | ^[[22m^[[1m^[[32m272 passed^[[39m^[[22m^[[90m (273)^[[39m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4098769Z ^[[2m      Tests ^[[22m ^[[1m^[[31m1 failed^[[39m^[[22m^[[2m | ^[[22m^[[1m^[[32m1787 passed^[[39m^[[22m^[[90m (1788)^[[39m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4099803Z ^[[2m   Start at ^[[22m 13:48:43
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4104266Z ^[[2m   Duration ^[[22m 54.32s^[[2m (transform 4.38s, setup 1.70s, import 33.20s, tests 80.59s, environment 41ms)^[[22m
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.4106000Z 
quality (node 24.21.0)	Run npm test -- --reporter=default --reporter=./scripts/ci-evidence.mjs	2026-09-25T13:49:37.5088299Z ##[error]Process completed with exit code 1.
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	﻿2026-09-25T13:49:37.5124827Z ##[group]Run node scripts/ci-evidence.mjs verify all
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5125276Z ^[[36;1mnode scripts/ci-evidence.mjs verify all^[[0m
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5188421Z shell: /usr/bin/bash -e {0}
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5188876Z env:
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5189197Z   NODE_VERSION: 24.21.0
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5189631Z   CI_EVIDENCE_DIR: /home/runner/work/_temp/ci-evidence
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5190194Z ##[endgroup]
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5731820Z Suite did not complete successfully
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5732261Z 
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5732418Z 'failed' !== 'passed'
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5732586Z 
quality (node 24.21.0)	Run node scripts/ci-evidence.mjs verify all	2026-09-25T13:49:37.5785488Z ##[error]Process completed with exit code 1.
integration (node 24.21.0)	Require successful suite owner, including evidence verification	﻿2026-09-25T13:49:44.6098770Z ##[group]Run test "$SUITE_RESULT" = success
integration (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:44.6099517Z ^[[36;1mtest "$SUITE_RESULT" = success^[[0m
integration (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:44.6357418Z shell: /usr/bin/bash -e {0}
integration (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:44.6358475Z env:
integration (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:44.6359087Z   NODE_VERSION: 24.21.0
integration (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:44.6359784Z   SUITE_RESULT: failure
integration (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:44.6360457Z ##[endgroup]
integration (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:44.6518535Z ##[error]Process completed with exit code 1.
end-to-end (node 24.21.0)	Require successful suite owner, including evidence verification	﻿2026-09-25T13:49:45.7507552Z ##[group]Run test "$SUITE_RESULT" = success
end-to-end (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:45.7508525Z ^[[36;1mtest "$SUITE_RESULT" = success^[[0m
end-to-end (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:45.7685211Z shell: /usr/bin/bash -e {0}
end-to-end (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:45.7686363Z env:
end-to-end (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:45.7687174Z   NODE_VERSION: 24.21.0
end-to-end (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:45.7687778Z   SUITE_RESULT: failure
end-to-end (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:45.7688376Z ##[endgroup]
end-to-end (node 24.21.0)	Require successful suite owner, including evidence verification	2026-09-25T13:49:45.7833598Z ##[error]Process completed with exit code 1.
